id_ubicacion;comuna;tipo_de_calle;direccion
331;;CALLE;MARTINEZ, ENRIQUE, GRAL. y CESPEDES
332;;CALLE;CALVO, CARLOS y PASCO
333;Comuna 1;AVENIDA;CASEROS AV. y PIEDRAS
334;;AVENIDA;CONGRESO AV. 5786
335;Comuna 9;AUTOPISTA;AUTOPISTA PERITO MORENO KM. 5.6
336;;AVENIDA;SAENZ AV. y DEL TIGRE
337;Comuna 15;AVENIDA;GUZMAN 365
338;;AVENIDA;DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.
339;;AVENIDA;SANTA FE AV. y LIBERTAD
340;;AVENIDA;CASEROS AV. y LINIERS VIRREY
341;;AVENIDA;SAN MARTIN AV. y ORO?O, NICASIO
342;;CALLE;LUPPI, ABRAHAM J. y EREZCANO
343;;AVENIDA;FOREST AV. y CESPEDES
344;;AVENIDA;ALVAREZ, CRISOSTOMO y ESCALADA AV.
345;;AV. GRAL. PAZ;PAZ, GRAL. AV. y GOLETA SANTA CRUZ
346;;CALLE;MEXICO y LINIERS VIRREY
347;Comuna 12;AVENIDA;DE LOS CONSTITUYENTES AV. 4300
348;;AVENIDA;ALVAREZ JONTE AV. y LLAVALLOL
349;;AVENIDA;NAZCA AV. y GONZALEZ, ELPIDIO
350;;AVENIDA;ALVEAR AV. y CALLAO AV.
351;;AVENIDA;LARRALDE, CRISOLOGO AV. y AMENABAR
352;;CALLE;MORON y GOYA
353;Comuna 2;AUTOPISTA;
354;;CALLE;MIRO y BALBASTRO
355;;AVENIDA;CORDOBA AV. y ANCHORENA, TOMAS MANUEL DE, DR.
356;Comuna 4;AVENIDA;MORENO, PERITO AV. y TILCARA AV.
357;Comuna 9;CALLE;IBARROLA y GORDILLO, TIMOTEO
358;Comuna 11;AV. GRAL. PAZ;PAZ, GRAL. AV. y GRIVEO
359;;AVENIDA;CALVO, CARLOS y JUJUY AV.
360;;AVENIDA;LAFUENTE AV. y ECHEANDIA
361;;AVENIDA;LAS HERAS GENERAL AV. y PAUNERO
362;;AVENIDA;27 DE FEBRERO AV. 6300
363;Comuna 10;AVENIDA;RIVADAVIA AV. y PERGAMINO
364;;AVENIDA;PRINGLES y CORRIENTES AV.
365;;AVENIDA;DIAZ VELEZ AV. y PUEYRREDON, HONORIO, DR. AV.
366;;CALLE;CULPINA 145
367;Comuna 12;AV. GRAL. PAZ;PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.
368;Comuna 9;AVENIDA;LACARRA AV. y DELLEPIANE, LUIS, TTE. GRAL.
369;Comuna 10;AVENIDA;JUSTO, JUAN B. AV. y MERCEDES
370;Comuna 3;AVENIDA;SAN JUAN AV. y CATAMARCA
371;Comuna 4;AVENIDA;VELEZ SARSFIELD AV. 213
372;Comuna 12;CALLE;ZADO y NUÃ‘EZ
373;Comuna 4;CALLE;BRIN, MINISTRO 815
374;Comuna 14;CALLE;BONPLAND y PARAGUAY
375;Comuna 7;AVENIDA;AVELLANEDA AV. 3123
376;Comuna 10;AVENIDA;CALDERON DE LA BARCA, PEDRO y JUSTO, JUAN B. AV.
377;Comuna 11;AVENIDA;BEIRO, FRANCISCO AV. y MERCEDES
378;Comuna 2;AVENIDA;CALLE 14 (NO OFICIAL) y OBLIGADO RAFAEL, AV.COSTANERA
379;Comuna 2;AVENIDA;ALVEAR AV. y AYACUCHO
380;Comuna 14;AVENIDA;SANTA FE AV. y CARRANZA, ANGEL JUSTINIANO
381;Comuna 1;AVENIDA;CORRIENTES AV. y MADERO, EDUARDO AV.
382;Comuna 1;AVENIDA;9 DE JULIO AV. e INDEPENDENCIA AV.
383;Comuna 15;AVENIDA;FOREST AV. 567
384;Comuna 3;AVENIDA;RIVADAVIA AV. 2530
385;Comuna 1;AVENIDA;ALEM, LEANDRO N. AV. 421
386;Comuna 5;AVENIDA;INDEPENDENCIA AV. y MAZA
387;Comuna 1;AVENIDA;SAN JUAN AV. y 9 DE JULIO AV.
388;Comuna 15;AVENIDA;DORREGO AV. y VILLARROEL
389;Comuna 13;AVENIDA;CABILDO AV. y PINO, VIRREY DEL
390;Comuna 14;AVENIDA;LAS HERAS GENERAL AV. y BILLINGHURST
391;Comuna 9;CALLE;LAGUNA 496
392;Comuna 3;CALLE;CASTELLI 147
393;Comuna 11;CALLE;BOYACA y CAMARONES
394;Comuna 3;CALLE;CONSTITUCION y URQUIZA, GRAL.
395;Comuna 6;CALLE;ROSARIO 102
396;Comuna 4;CALLE;RIVERA, FRUCTUOSO, GENERAL y FOURNIER
397;Comuna 11;CALLE;CAMPANA 2088
398;Comuna 12;AV. GRAL. PAZ;PAZ, GRAL. AV. y DE LOS CONSTITUYENTES AV.
399;Comuna 15;AVENIDA;GANDARA y VICTORICA, BENJAMIN, GENERAL, AV.
400;Comuna 4;AVENIDA;BROWN, ALTE. AV. 700
401;Comuna 14;AVENIDA;DIAZ, CNEL. AV. 1860
402;Comuna 1;AVENIDA;9 DE JULIO AV. y PERON, JUAN DOMINGO, TTE. GENERAL
403;Comuna 1;AVENIDA;9 DE JULIO AV. y TUCUMAN
404;Comuna 14;AVENIDA;LAS HERAS GENERAL AV. 3453
405;Comuna 8;AVENIDA;CASTAÃ‘ARES AV. 4252
406;Comuna 3;AVENIDA;SAN JUAN AV. y PICHINCHA
